ID,Name,KG,For Sale,Sale Price,Fert/Day,Rarity,# Traits,Rarest Trait,Head,Neck,Torso,Feet,Tail,Body,Trim,Background,Lore,Flavour,Rank,Score,Floor Price,Last Price,Roosted
1759,,23,False,0,50,nice,5,elite,Snorkel,Bandolier,,Green Feet,,Nightstalker Blue,,Atlantis,,,5482,192.26,42,0,True
1760,,7,False,0,18,nice,5,legendary,,Lei,9-iron,Sneaker Head,,Celestial,,Tangerine,,,5487,192.19,42,0,True
1761,,3,False,0,10,nice,4,elite,Beret,,Saddle,,,Nightstalker Blue,,Turquoisey,,,5490,192.12,42,6.99,True
1762,,15,False,0,34,nice,5,elite,Purple Comb,,Breastplate,Green Feet,,Snow White,,Plum,,,5492,192.09,42,9.3,True
1763,,27,False,0,58,nice,4,elite,Snorkel,Clockchain,,,,Passion Red,,Vulcan,,,5494,192.06,42,9.3,True
1764,Golden Samurai,42,True,888.88,88,nice,5,elite,Samurai,Make a Wish,,Golden Feet,,Bullion,,Cornhusk,,,5495,192.05,42,6.99,True
1765,,29,False,0,62,nice,4,legendary,,,Rubber chikn,Rugged,,Mutant Purple,,Cornhusk,,,5496,192.04,42,16,True
1766,,33,False,0,70,nice,6,rare,Sesh Hat,Purple Bowtie,,Sneaker Head,Smokestack,Passion Red,,Cornhusk,,,5497,192.04,42,34,True
1767,,24,False,0,52,nice,6,rare,Celestial Comb,Lei,Zippo,Celestial Feet,,Midnight,,Turquoisey,,,5501,191.96,42,0,True
1768,,24,False,0,52,nice,5,elite,,Bandolier,A Fresh Baguette,Ball'n Chain,,Snow White,,Atlantis,,,5504,191.92,42,0,True
1769,,24,True,420,52,nice,5,elite,,Stethoscope,Katana,Sneaker Head,,Mutant Purple,,Atlantis,,,5505,191.9,42,0,True
1770,,24,False,0,52,nice,6,rare,Gentleman's Pipe,Prized Coq,Love Balloon,Ball'n Chain,,Mutant Purple,,Turquoisey,,,5508,191.87,42,0,True
1771,,19,False,0,42,nice,4,rare,,,McFly,,Smokestack,Snow White,,Miami,,,5509,191.85,42,15,True
1772,,39,False,0,82,nice,5,elite,,,Floppy Disk,Sneaker Head,,Frog Green,Blue Trim,Cornhusk,,,5513,191.74,42,13,True
1773,,36,False,0,76,nice,4,elite,,Bandolier,Floppy Disk,,,Snow White,,Miami,,,5521,191.56,42,9.99,True
1774,,23,False,0,50,nice,4,elite,,,Hendrix,Spurs,,Snow White,,Field,,,5527,191.39,42,0,True
1775,,30,False,0,64,nice,4,elite,Templar,,Banger,,,Mutant Purple,,Cornhusk,,,5528,191.37,42,0,True
1776,,59,False,0,122,nice,5,rare,Sesh Hat,Coq Tags,Bone,,,Passion Red,,Vermillion,,,5529,191.34,42,0,True
1777,,19,False,0,42,nice,6,nice,Happy Birthday,Coq Tags,Toot-Toot,,,Snow White,Blue Trim,Cornhusk,,,5531,191.29,42,6.98,True
1778,,21,False,0,46,nice,5,elite,Templar,Stethoscope,,Green Feet,,Frog Green,,Miami,,,5534,191.22,42,7.8,True
1779,,23,False,0,50,nice,5,elite,Winterproof,Bitcoin Maxi,,Green Feet,,Snow White,,Royale,,,5540,191.04,42,0,True
1780,,26,False,0,56,nice,5,rare,Happy Birthday,,Lord Quas,Golden Feet,,Midnight,,Miami,,,5541,191,42,8.25,True
1781,,21,False,0,46,nice,5,elite,Hairy Old Man,Bandolier,,Greaves,,Snow White,,Drummies,,,5549,190.89,42,0,True
1782,Don Juan DeEggo,28,False,0,60,nice,5,elite,Rosebud,Chick Magnet,,Green Feet,,Midnight,,Periwinkle,,,5554,190.75,42,0,True
1783,,1,False,0,1,nice,5,rare,Grandpa,,Fresh Fish,Golden Feet,,Frog Green,,Solana,,,5555,190.74,42,0,False
1784,,24,False,0,52,nice,5,elite,SuperVillain,,,Golden Feet,,Snow White,Black Trim,Miami,,,5556,190.73,42,0,True
1785,,41,False,0,86,nice,6,rare,Beanie,Red Bowtie,Hoops,Ball'n Chain,,Snow White,,Vermillion,,,5564,190.56,42,0,True
1786,,3,False,0,10,nice,3,nice,,,,,Royal Flush,Snow White,,Turquoisey,,,5567,190.4,42,7.45,True
1787,,32,False,0,68,nice,5,rare,Fez,Coq Tags,Home Run,,,Passion Red,,Vibe,,,5568,190.39,42,6.79,True
1788,,24,False,0,52,nice,6,rare,Laser Eye,Stethoscope,Bone,Red Feet,,Snow White,,Cornhusk,,,5569,190.39,42,0,True
1789,,44,False,0,92,nice,5,elite,,Bone Necklace,Zippo,Spurs,,Bullion,,Turquoisey,,,5574,190.32,42,0,True
1790,,24,False,0,52,nice,6,rare,Golden Comb,,Katana,Sneaker Head,chikn Jockey,Mutant Purple,,Periwinkle,,,5576,190.29,42,0,True
1791,,24,False,0,52,nice,6,rare,Gentlechikn,Shoulder Armour,,Buckaroo,,Mutant Purple,Black Trim,Cornhusk,,,5580,190.22,42,0,True
1792,Fire,30,False,0,64,nice,2,elite,,,,,,Snow White,,Vulcan,,,5582,190.15,42,0,True
1793,,20,False,0,44,nice,6,elite,Cap,a little rag,Rubber chikn,Spurs,,Snow White,,Cornhusk,,,5583,190.13,42,0,True
1794,,23,False,0,50,nice,5,rare,3D Specs,,Banger,Green Feet,,Midnight,,Farm,,,5587,190.06,42,0,True
1795,,21,False,0,46,nice,5,rare,Rosebud,,Toot-Toot,Buckaroo,,Frog Green,,Vermillion,,,5588,190.02,42,8,True
1796,,1,False,0,1,nice,6,elite,Celestial Comb,Sash,Avax Banger,Spurs,,Passion Red,,Vibe,,,5593,189.87,42,8.9,False
1797,,23,False,0,50,nice,5,elite,Purple Comb,Golden Pauldrons,,All Stars,,Snow White,,Turquoisey,,,5594,189.83,42,0,True
1798,,7,False,0,18,nice,4,elite,,Gwei Guzzler,Sword,,,Snow White,,Plum,,,5595,189.82,42,0,True
1799,,13,False,0,30,nice,4,legendary,Coqpit Commander,,,Golden Greaves,,Frog Green,,Field,,,5599,189.73,42,7.4,True
1800,,16,False,0,36,nice,5,rare,3D Specs,a little rag,Omelette,,,Snow White,,Field,,,5601,189.71,42,8,True
1801,,25,True,49,54,nice,5,rare,Fez,Coq Tags,Not Football,,,Snow White,,Tangerine,,,5603,189.6,42,38,True
1802,,38,False,0,80,nice,3,elite,Golden Bone Daddy,,,,,Frog Green,,Plum,,,5604,189.59,42,0,True
1803,,6,True,75,16,nice,5,rare,Rosebud,,Shovel,Ball'n Chain,,Nightstalker Blue,,Periwinkle,,,5606,189.58,42,0,True
1804,,32,False,0,68,nice,5,rare,Fez,Shoulder Armour,Lord Quas,,,Snow White,,Vermillion,,,5609,189.49,42,0,True
1805,,15,False,0,34,nice,4,elite,SuperVillain,,9-iron,,,Passion Red,,Royale,,,5611,189.43,42,9.5,True
1806,,27,False,0,58,nice,6,elite,Celestial Comb,Chick Magnet,Katana,Buckaroo,,Snow White,,Turquoisey,,,5614,189.37,42,0,True
1807,,27,False,0,58,nice,4,elite,Framez,,Boombox,,,Mutant Purple,,Tangerine,,,5615,189.33,42,0,True
1808,,11,False,0,26,nice,5,rare,Coachella,Sash,Shield,,,Mutant Purple,,Solana,,,5616,189.33,42,0,True
1809,,30,False,0,64,nice,5,elite,,Chick Magnet,Katana,Sneaker Head,,Passion Red,,Field,,,5619,189.22,42,13,True
1810,,28,False,0,60,nice,4,elite,,,Toot-Toot,,Smokestack,Snow White,,Vulcan,,,5620,189.19,42,35,True
1811,,2,False,0,8,nice,4,elite,,,Boombox,,chikn Jockey,Nightstalker Blue,,Solana,,,5622,189.16,42,10.5,True
1812,,1,False,0,1,nice,6,rare,Sesh Hat,a little rag,Spelunker,Sneaker Head,,Frog Green,,Turquoisey,,,5624,189.13,42,6.74,True
1813,,21,False,0,46,nice,3,elite,,,,,Smokestack,Frog Green,,Vaporwave,,,5625,189.13,42,10,True
1814,,27,False,0,58,nice,5,elite,Mullet,Clockchain,The Key,,,Mutant Purple,,Plum,,,5632,189.05,42,8.2,True
1815,,14,False,0,32,nice,5,elite,Celestial Comb,,Floppy Disk,Spurs,,Nightstalker Blue,,Turquoisey,,,5633,189.03,42,0,True
1816,,40,False,0,84,nice,6,elite,Roodboi Rootie,Stethoscope,A Fresh Baguette,Spurs,,Passion Red,,Periwinkle,,,5635,188.96,42,7.23,True
1817,,40,False,0,84,nice,6,rare,Grandpa,Purple Bowtie,Katana,Green Feet,,Snow White,,Turquoisey,,,5640,188.88,42,0,True
1818,,7,True,77,18,nice,4,elite,,Coq Tags,Black T-Shirt,,,Snow White,,Cornhusk,,,5641,188.86,42,0,True
1819,,27,False,0,58,nice,5,legendary,Purple Comb,,CD-RW,Croqs,,Celestial,,Plum,,,5646,188.77,42,0,True
1820,,15,False,0,34,nice,4,elite,,Prized Coq,White T-Shirt,,,Mutant Purple,,Turquoisey,,,5647,188.75,42,0,True
1821,,24,False,0,52,nice,5,elite,,Sash,Boombox,All Stars,,Snow White,,Miami,,,5651,188.69,42,5.79,True
1822,,42,False,0,88,nice,6,nice,Happy Birthday,Lei,Gainz,Buckaroo,,Nightstalker Blue,,Plum,,,5654,188.67,42,9,True
1823,,11,True,100,26,nice,4,elite,,Red Bowtie,White T-Shirt,,,Snow White,,Vermillion,,,5659,188.63,42,0,True
1824,,1,False,0,1,nice,5,elite,Coachella,Coq Tags,Big Ol' Corn Cob,,,Bullion,,Periwinkle,,,5660,188.63,42,0,False
1825,,26,False,0,56,nice,5,elite,OASIS,Purple Bowtie,,Celestial Feet,,Snow White,,Tangerine,,,5661,188.63,42,0,True
1826,,6,False,0,16,nice,5,elite,Celestial Comb,,Fancy Sword,Red Stilettos,,Midnight,,Turquoisey,,,5663,188.57,42,0,True
1827,,25,False,0,54,nice,5,rare,Snorkel,a little rag,Spelunker,,,Snow White,,Field,,,5666,188.51,42,0,True
1828,,7,True,49,18,nice,4,rare,Daffy,,Love Balloon,,,Frog Green,,Cornhusk,,,5668,188.45,42,0,True
1829,,31,False,0,66,nice,4,elite,,,GoldFish,Spurs,,Passion Red,,Cornhusk,,,5673,188.32,42,9.5,True
1830,,34,False,0,72,nice,5,elite,Celestial Comb,Stop Loss,9-iron,,,Frog Green,,Drummies,,,5674,188.27,42,7.55,True
1831,,7,True,66,18,nice,6,rare,3D Specs,Joseph Drip,Big Stick,Celestial Feet,,Snow White,,Periwinkle,,,5677,188.19,42,0,True
1832,,33,False,0,70,nice,5,elite,,Chick Magnet,Starfish,Spurs,,Frog Green,,Drummies,,,5686,187.97,42,5.79,True
1833,,36,False,0,76,nice,6,nice,Sunnies,a little rag,9-iron,Golden Feet,,Passion Red,,Periwinkle,,,5691,187.88,42,8.99,True
1834,,11,False,0,26,nice,4,elite,Templar,,,Black Stilettos,,Mutant Purple,,Royale,,,5693,187.86,42,7.2,True
1835,,7,False,0,18,nice,5,rare,Framez,,Fancy Sword,,,Passion Red,Avax Trim,Cornhusk,,,5696,187.82,42,0,True
1836,,30,False,0,64,nice,5,elite,Mullet,,Big Stick,Iron Claw,,Obsidian,,Royale,,,5698,187.77,42,0,True
1837,,1,False,0,1,nice,5,rare,Fez,Stop Loss,CD-RW,,,Passion Red,,Tangerine,,,5699,187.75,42,8,False
1838,,25,False,0,54,nice,4,rare,Chef,,Zippo,,,Snow White,,Farm,,,5700,187.69,42,0,True
1839,,41,False,0,86,nice,5,elite,Inherited Royalty,Red Bowtie,,Greaves,,Snow White,,Periwinkle,,,5702,187.66,42,8.39,True
1840,,28,False,0,60,nice,4,elite,Grandpa,Bitcoin Maxi,,,,Mutant Purple,,Turquoisey,,,5703,187.65,42,0,True
1841,,28,False,0,60,nice,6,rare,Golden Comb,,9-iron,All Stars,,Snow White,Blue Trim,Venus,,,5707,187.56,42,6.5,True
1842,,17,False,0,38,nice,6,rare,Chrome Dome,Red Bowtie,Omelette,Green Feet,,Snow White,,Cornhusk,,,5708,187.56,42,0,True
1843,,33,False,0,70,nice,6,nice,3D Specs,Prized Coq,Lord Quas,Green Feet,,Frog Green,,Vermillion,,,5709,187.55,42,16,True
1844,,1,True,5000,1,nice,6,nice,Dirty Bird,a little rag,Gainz,Croqs,,Passion Red,,Turquoisey,,,5713,187.49,42,5.2,False
1845,,59,False,0,122,nice,3,elite,,,Big Ol' Corn Cob,,,Mutant Purple,,Galactic,,,5717,187.46,42,0,True
1846,,25,False,0,54,nice,5,rare,Fez,,Banjo,Ball'n Chain,,Snow White,,Tangerine,,,5718,187.46,42,0,True
1847,,25,False,0,54,nice,5,elite,Golden Comb,Clockchain,Starfish,,,Obsidian,,Vermillion,,,5723,187.37,42,0,True
1848,,7,False,0,18,nice,5,rare,Daffy,,,Croqs,chikn Jockey,Mutant Purple,,Cornhusk,,,5724,187.36,42,0,True
1849,,25,False,0,54,nice,5,elite,Hairy Old Man,Chick Magnet,Hoops,,,Snow White,,Plum,,,5726,187.33,42,0,True
1850,,59,False,0,122,nice,5,elite,,Purple Bowtie,Saddle,Blue Timbs,,Snow White,,Periwinkle,,,5730,187.3,42,0,True
1851,,26,False,0,56,nice,6,elite,,Purple Bowtie,9-iron,Golden Feet,,Bullion,Avax Trim,Turquoisey,,,5732,187.25,42,0,True
1852,,19,False,0,42,nice,5,rare,Inherited Royalty,,,Red Feet,Gas Guzzler,Snow White,,Tangerine,,,5736,187.19,42,6.49,True
1853,,11,False,0,26,nice,6,rare,Sesh Hat,Coq Tags,Banger,All Stars,,Snow White,,Cornhusk,,,5737,187.15,42,0,True
1854,,7,False,0,18,nice,5,rare,3D Specs,,Not Football,Green Feet,,Nightstalker Blue,,Solana,,,5742,187.07,42,0,True
1855,,8,False,0,20,nice,4,elite,OASIS,,,Celestial Feet,,Bullion,,Plum,,,5743,187.07,42,10,True
1856,,25,False,0,54,nice,3,elite,,,Big Ol' Corn Cob,,,Nightstalker Blue,,Galactic,,,5744,187.06,42,16,True
1857,,46,False,0,96,nice,4,elite,Batter-Up,Stethoscope,,,,Snow White,,Field,,,5745,187.06,42,8.5,True
1858,,10,False,0,24,nice,4,elite,,,McFly,Red Stilettos,,Frog Green,,Vibe,,,5746,187.01,42,0,True
1859,,4,False,0,12,nice,4,elite,,a little rag,Breastplate,,,Passion Red,,Turquoisey,,,5747,187,42,0,True
1860,,25,False,0,54,nice,5,elite,Batter-Up,Sash,,Spurs,,Snow White,,Tangerine,,,5758,186.78,42,0,True
1861,,31,False,0,66,nice,6,rare,Celestial Comb,Lei,Banger,Ball'n Chain,,Passion Red,,Solana,,,5767,186.63,42,46,True
1862,,23,False,0,50,nice,6,rare,Gentleman's Pipe,Joseph Drip,Sword,Green Feet,,Snow White,,Cornhusk,,,5768,186.61,42,5.5,True
1863,,39,False,0,82,nice,5,rare,Beanie,,Zippo,All Stars,,Snow White,,Miami,,,5769,186.6,42,0,True
1864,,20,False,0,44,nice,5,rare,Sesh Hat,,Katana,Ball'n Chain,,Passion Red,,Solana,,,5771,186.58,42,5.3,True
1865,,1,False,0,1,nice,4,legendary,,,Shield,Rugged,,Nightstalker Blue,,Plum,,,5773,186.57,42,0,False
1866,,24,False,0,52,nice,6,nice,Happy Birthday,Sash,CD-RW,Croqs,,Frog Green,,Periwinkle,,,5777,186.52,42,8.24,True
1867,,2,False,0,8,nice,4,rare,Happy Birthday,,Lord Quas,,,Midnight,,Field,,,5779,186.5,42,0,True
1868,,24,False,0,52,nice,6,nice,Laser Eye,Sash,Love Balloon,Green Feet,,Frog Green,,Plum,,,5781,186.45,42,0,True
1869,,4,False,0,12,nice,5,rare,Grandpa,,Sword,,chikn Jockey,Frog Green,,Cornhusk,,,5782,186.39,42,0,True
1870,,20,False,0,44,nice,6,elite,Gentleman's Pipe,Red Bowtie,Home Run,Spurs,,Snow White,,Cornhusk,,,5785,186.31,42,0,True
1871,,5,False,0,14,nice,5,rare,Sunnies,,Shovel,Golden Feet,,Mutant Purple,,Field,,,5789,186.27,42,0,True
1872,,11,False,0,26,nice,5,rare,Samurai,,Spelunker,All Stars,,Passion Red,,Vermillion,,,5792,186.25,42,0,True
1873,,4,False,0,12,nice,6,rare,Gentleman's Pipe,,9-iron,Ball'n Chain,,Snow White,Black Trim,Plum,,,5797,186.22,42,0,True
1874,,24,False,0,52,nice,4,rare,Rosebud,,Sword,,,Snow White,,Vibe,,,5800,186.19,42,0,True
1875,,18,False,0,40,nice,4,legendary,Hairy Old Man,,,Golden Greaves,,Snow White,,Drummies,,,5801,186.12,42,0,True
1876,,30,False,0,64,nice,5,rare,PermaBull,Lei,Fancy Sword,,,Frog Green,,Plum,,,5802,186.11,42,9.75,True
1877,,22,False,0,48,nice,5,elite,Coqpit Commander,Make a Wish,Starfish,,,Mutant Purple,,Turquoisey,,,5803,186.07,42,8.2,True
1878,,5,False,0,14,nice,4,elite,Cap,,Big Ol' Corn Cob,,,Passion Red,,Atlantis,,,5808,186.02,42,0,True
1879,,2,False,0,8,nice,5,rare,Laser Eye,,Rubber chikn,,,Frog Green,Avax Trim,Plum,,,5809,185.98,42,0,True
1880,,36,False,0,76,nice,5,rare,Framez,,Lord Quas,All Stars,,Nightstalker Blue,,Vibe,,,5811,185.94,42,8.39,True
1881,,20,False,0,44,nice,6,rare,PermaBull,Purple Bowtie,The Key,All Stars,,Snow White,,Cornhusk,,,5812,185.91,42,0,True
1882,,1,False,0,1,nice,4,elite,,,Red T-Shirt,Sneaker Head,,Frog Green,,Tangerine,,,5814,185.83,42,0,False
1883,,53,False,0,110,nice,5,elite,Winterproof,,Shield,Spurs,,Snow White,,Field,,,5816,185.8,42,14.99,True
1884,,35,False,0,74,nice,6,elite,Purple Comb,Make a Wish,Shield,Buckaroo,,Nightstalker Blue,,Periwinkle,,,5818,185.77,42,9.99,True
1885,,28,False,0,60,nice,5,elite,Dirty Bird,Make a Wish,Home Run,,,Nightstalker Blue,,Periwinkle,,,5820,185.7,42,7.7,True
1886,,6,False,0,16,nice,5,elite,,,Love Balloon,Greaves,,Mutant Purple,Avax Trim,Venus,,,5821,185.69,42,0,True
1887,,32,False,0,68,nice,2,elite,,,,,,Obsidian,,Farm,,,5823,185.69,42,12,True
1888,,14,False,0,32,nice,5,elite,Sombrero,Chick Magnet,,All Stars,,Snow White,,Plum,,,5825,185.62,42,0,True
1889,,24,False,0,52,nice,4,elite,Golden Comb,Gwei Guzzler,,,,Snow White,,Miami,,,5828,185.57,42,9.5,True
1890,,23,False,0,50,nice,3,elite,,,Black T-Shirt,,,Snow White,,Solana,,,5830,185.49,42,0,True
1891,,25,False,0,54,nice,4,elite,Samurai,Purple Bowtie,,,,Snow White,,Atlantis,,,5831,185.49,42,7.1,True
1892,,29,False,0,62,nice,5,rare,Rosebud,,,Red Feet,Smokestack,Mutant Purple,,Plum,,,5834,185.38,42,0,True
1893,,40,False,0,84,nice,6,rare,Winterproof,Sash,CD-RW,Croqs,,Mutant Purple,,Cornhusk,,,5835,185.37,42,0,True
1894,,20,False,0,44,nice,4,elite,,,Breastplate,Iron Claw,,Nightstalker Blue,,Tangerine,,,5836,185.37,42,0,True
1895,,8,False,0,20,nice,5,elite,Beret,,Toot-Toot,Celestial Feet,,Obsidian,,Miami,,,5838,185.34,42,0,True
1896,,25,False,0,54,nice,5,rare,Framez,a little rag,Toot-Toot,,,Snow White,,Farm,,,5839,185.34,42,7.1,True
1897,,25,False,0,54,nice,5,elite,Golden Comb,Red Bowtie,Lord Quas,,,Frog Green,,Drummies,,,5844,185.26,42,0,True
1898,,3,False,0,10,nice,5,rare,Gentlechikn,,Lord Quas,Iron Claw,,Midnight,,Plum,,,5847,185.25,42,0,True
1899,,24,False,0,52,nice,5,legendary,,Sash,,Golden Greaves,,Frog Green,Avax Trim,Solana,,,5850,185.17,42,0,True
1900,,17,False,0,38,nice,5,rare,Gentleman's Pipe,Stop Loss,Katana,,,Snow White,,Tangerine,,,5853,185.13,42,0,True
1901,,16,False,0,36,nice,5,elite,Celestial Comb,Clockchain,Avax Banger,,,Passion Red,,Solana,,,5856,185.1,42,0,True
1902,,20,False,0,44,nice,5,rare,Roodboi Rootie,Sash,Spork,,,Nightstalker Blue,,Vibe,,,5857,185.08,42,0,True
1903,,20,False,0,44,nice,5,rare,Gentlechikn,Coq Tags,Fancy Sword,,,Frog Green,,Turquoisey,,,5859,185.06,42,8.69,True
1904,,25,False,0,54,nice,5,elite,Coachella,Purple Bowtie,,All Stars,,Frog Green,,Atlantis,,,5861,185.02,42,0,True
1905,,61,False,0,126,nice,5,rare,Inherited Royalty,,A Fresh Baguette,Red Feet,,Snow White,,Plum,,,5868,184.94,42,7.2,True
1906,,38,False,0,80,nice,5,elite,Coachella,,,Spurs,,Obsidian,Blue Trim,Field,,,5873,184.86,42,10,True
1907,,28,False,0,60,nice,5,elite,Roodboi Rootie,Bandolier,,Greaves,,Nightstalker Blue,,Solana,,,5876,184.82,42,6.8,True
1908,,19,False,0,42,nice,4,elite,Cap,,Gainz,,,Snow White,,Vulcan,,,5879,184.75,42,0,True
1909,Risk Manageggment,23,False,0,50,nice,5,rare,Dirty Bird,Stop Loss,Big Stick,,,Nightstalker Blue,,Tangerine,,,5881,184.65,42,0,True
1910,,1,False,0,1,nice,6,rare,Snorkel,Prized Coq,Big Ol' Corn Cob,Sneaker Head,,Snow White,,Turquoisey,,,5883,184.57,42,7.4,False
1911,,28,False,0,60,nice,5,elite,Dirty Bird,,The Key,Croqs,,Passion Red,,Drummies,,,5890,184.4,42,0,True
1912,,22,False,0,48,nice,6,nice,Framez,Red Bowtie,Big Stick,Iron Claw,,Snow White,,Periwinkle,,,5894,184.35,42,14.5,True
1913,,23,False,0,50,nice,6,rare,Gentleman's Pipe,Purple Bowtie,Big Ol' Corn Cob,Sneaker Head,,Nightstalker Blue,,Turquoisey,,,5895,184.35,42,0,True
1914,,18,False,0,40,nice,5,elite,Beanie,,Lord Quas,Greaves,,Passion Red,,Plum,,,5903,184.18,42,5.6,True
1915,,15,False,0,34,nice,4,elite,,,GoldFish,Celestial Feet,,Snow White,,Royale,,,5906,184.07,42,4.4,True
1916,Fire - Listening to the Bokcast,146,True,5000,296,nice,5,elite,Beanie,a little rag,,Croqs,,Mutant Purple,,Vulcan,"A very hungry boi that eats FEED and EGG daily. 
Vied with Ice for longest time to be the BIGGES.

Likes: Starving Chikn, and wearing CrOQs",Caution... HOT,5907,184.06,42,0,True
1917,,23,False,0,50,nice,5,elite,Purple Comb,Clockchain,Love Balloon,,,Frog Green,,Solana,,,5909,184.05,42,0,True
1918,,19,False,0,42,nice,5,elite,Batter-Up,Red Bowtie,,Croqs,,Nightstalker Blue,,Periwinkle,,,5917,183.87,42,26,True
1919,,25,False,0,54,nice,4,rare,Dirty Bird,,Zippo,,,Passion Red,,Farm,,,5918,183.85,42,0,True
1920,,31,False,0,66,nice,3,legendary,,,Banjo,,,Celestial,,Royale,,,5921,183.81,42,0,True
1921,redd,58,False,0,120,nice,6,nice,Winterproof,Coq Tags,Home Run,Red Feet,,Passion Red,,Periwinkle,,,5924,183.73,42,0,True
1922,,23,False,0,50,nice,4,elite,,Joseph Drip,,Celestial Feet,,Nightstalker Blue,,Galactic,,,5925,183.71,42,0,True
1923,,35,False,0,74,nice,5,elite,Green Comb,,Banger,Spurs,,Snow White,,Atlantis,,,5931,183.52,42,8.44,True
1924,,24,False,0,52,nice,4,rare,Construction Helmet,,Not Football,,,Snow White,,Solana,,,5937,183.36,42,0,True
1925,,17,False,0,38,nice,5,rare,Sombrero,Bone Necklace,,Iron Claw,,Frog Green,,Turquoisey,,,5944,183.22,42,0,True
1926,,17,False,0,38,nice,5,nice,Laser Eye,Bandolier,Omelette,,,Frog Green,,Turquoisey,,,5946,183.18,42,0,True
1927,,17,False,0,38,nice,5,rare,Beret,Bone Necklace,Sword,,,Frog Green,,Turquoisey,,,5950,183.08,42,0,True
1928,,17,False,0,38,nice,5,rare,Mullet,,Shield,Iron Claw,,Snow White,,Vibe,,,5953,183.04,42,0,True
1929,,17,False,0,38,nice,5,elite,Grandpa,,Love Balloon,Golden Feet,,Obsidian,,Periwinkle,,,5956,182.99,42,0,True
1930,,17,False,0,38,nice,6,rare,Coqpit Commander,Stethoscope,9-iron,Sneaker Head,,Snow White,,Plum,,,5957,182.98,42,0,True
1931,,4,False,0,12,nice,3,elite,Daffy,,,,,Obsidian,,Drummies,,,5963,182.86,42,0,True
1932,,30,False,0,64,nice,4,elite,,Bitcoin Maxi,Love Balloon,,,Snow White,,Cornhusk,,,5972,182.72,42,6.6,True
1933,,48,False,0,100,nice,5,rare,Coqpit Commander,,Avax Banger,Sneaker Head,,Mutant Purple,,Solana,,,5973,182.71,42,11,True
1934,,23,False,0,50,nice,5,nice,Coqpit Commander,,Big Stick,,chikn Jockey,Frog Green,,Cornhusk,,,5977,182.68,42,5.6,True
1935,,7,False,0,18,nice,4,elite,Hipster,,,Greaves,,Snow White,,Periwinkle,,,5978,182.66,42,0,True
1936,,29,False,0,62,nice,5,elite,Coachella,,Banger,Black Stilettos,,Passion Red,,Cornhusk,,,5979,182.66,42,0,True
1937,,11,False,0,26,nice,5,rare,Coachella,,Big Ol' Corn Cob,Golden Feet,,Frog Green,,Farm,,,5990,182.42,42,0,True
1938,,31,False,0,66,nice,5,elite,Coqpit Commander,Clockchain,,Red Stilettos,,Snow White,,Royale,,,5991,182.41,42,6.99,True
1939,,27,False,0,58,nice,6,rare,Framez,Lei,A Fresh Baguette,All Stars,,Snow White,,Plum,,,5994,182.4,42,0,True
1940,,16,False,0,36,nice,4,elite,Daffy,,,Spurs,,Passion Red,,Drummies,,,5998,182.35,42,18,True
1941,,17,False,0,38,nice,5,elite,Snorkel,Stop Loss,,Greaves,,Snow White,,Venus,,,6000,182.3,42,0,True
1942,,29,False,0,62,common,4,elite,Hipster,,,Greaves,,Snow White,,Cornhusk,,,6006,182.2,35,8.9,True
1943,,24,False,0,52,common,5,rare,PermaBull,,Not Football,Sneaker Head,,Snow White,,Turquoisey,,,6007,182.18,35,32,True
1944,,7,False,0,18,common,4,elite,Hairy Old Man,,Boombox,,,Snow White,,Vermillion,,,6010,182.17,35,0,True
1945,,1,False,0,1,common,5,elite,,Make a Wish,Katana,All Stars,,Snow White,,Farm,,,6011,182.11,35,0,False
1946,,30,False,0,64,common,4,elite,Grandpa,,Big Stick,,,Obsidian,,Venus,,,6022,181.85,35,0,True
1947,,17,False,0,38,common,4,rare,Sombrero,,Avax Banger,,,Snow White,,Royale,,,6025,181.78,35,0,True
1948,,55,False,0,114,common,5,rare,Grandpa,,Lord Quas,Celestial Feet,,Midnight,,Plum,,,6027,181.74,35,6.1,True
1949,,35,False,0,74,common,5,rare,Beanie,Prized Coq,Shield,,,Snow White,,Vibe,,,6029,181.71,35,7,True
1950,,54,False,0,112,common,6,nice,Winterproof,Stethoscope,A Fresh Baguette,Buckaroo,,Nightstalker Blue,,Plum,,,6031,181.61,35,6.1,True
1951,,46,False,0,96,common,5,elite,,Stop Loss,,Celestial Feet,chikn Jockey,Bullion,,Field,,,6041,181.39,35,7.49,True
1952,,40,False,0,84,common,5,rare,Mullet,,Spelunker,Green Feet,,Passion Red,,Field,,,6045,181.24,35,8.88,True
1953,,17,False,0,38,common,5,elite,3D Specs,Purple Bowtie,,,Gas Guzzler,Snow White,,Drummies,,,6048,181.22,35,6.1,True
1954,,24,False,0,52,common,6,elite,Cap,Red Bowtie,Spork,Spurs,,Passion Red,,Turquoisey,,,6049,181.22,35,6.1,True
1955,,48,False,0,100,common,4,elite,,a little rag,Starfish,,,Midnight,,Atlantis,,,6050,181.22,35,4.3,True
1956,,25,False,0,54,common,5,elite,3D Specs,,Toot-Toot,All Stars,,Nightstalker Blue,,Drummies,,,6052,181.19,35,0,True
1957,,26,False,0,56,common,5,elite,,Lei,Big Ol' Corn Cob,All Stars,,Snow White,,Atlantis,,,6053,181.18,35,0,True
