ID,Name,KG,For Sale,Sale Price,EGG/Day,Rarity,# Traits,Rarest Trait,Head,Neck,Torso,Feet,Tail,Body,Trim,Background,Lore,Flavour,Rank,Score,Floor Price,Last Price,Roosted
6891,,52,False,0,13.75,common,6,nice,moustache,red bowtie,cutlass,,,mutant purple,avax trim,cornhusk,,,5565,139.04,93,23.8,True
6892,,31,False,0,8.5,common,5,rare,,,,blue feet,orange plumage,pixel-chan,avax trim,cornhusk,,,9320,88.8,93,12,True
6893,,30,False,0,8.25,common,5,nice,gentleman's pipe,,,black vans,liarliar,mutant purple,,vermillion,,,7029,120.47,93,19.5,True
6894,,50,False,0,13.25,rare,5,elite,mfd,,nugget wand,blue feet,,crystalé,,cornhusk,,,1200,238.97,138,40,True
6895,,48,False,0,12.75,nice,4,elite,low vision admiral,,nugget wand,,,mutant purple,,vermillion,,,2584,188.79,95,30,True
6896,,36,False,0,9.75,rare,5,elite,,mim og,big ol corn cob,,red plumage,pixel-chan,,solana,,,1761,212.41,138,35.8,True
6897,,42,False,0,11.25,common,4,elite,black sweatband,,,,very fresh egg,rustic brown,,cloud,,,7032,120.43,93,14.88,True
6898,,8,False,0,2.75,common,5,Common,nerdlinger,hairy old man,,,liarliar,mutant purple,,royale,,,8586,100.72,93,18.8,True
6899,,37,False,0,10,common,4,nice,,mim bling,old fashioned romance,,,nightstalker blue,,vermillion,,,9544,83.68,93,22.499,True
6900,,45,False,0,12,common,4,rare,,wage slave,,blue feet,,passion red,,miami,,,9655,80.41,93,22.8,True
6901,,52,False,0,13.75,nice,5,elite,,chicken choker,action shorts,blue kicks,,gameboy,,vermillion,,,3152,175.94,95,24.5,True
6902,,38,False,0,10.25,common,5,elite,hubba bubba,red bowtie,,,red plumage,crystalé,,cornhusk,,,5175,144.37,93,27.5,True
6903,,38,False,0,10.25,nice,7,nice,top of the morning,purple bowtie,popsicle,blue feet,liarliar,passion red,,cornhusk,,,4989,146.66,95,31,True
6904,,32,False,0,8.75,common,5,nice,admiral,mim bling,,red feet,,rustic brown,,venus,,,6339,128.73,93,24,True
6905,,46,False,0,12.25,nice,5,legendary,black sweatband,mim bling,,real feet,,passion red,,cornhusk,,,2557,189.37,95,34.3,True
6906,,15,False,0,4.5,nice,5,rare,pixel cigarette,ethereum bling,midas muscles,,,mutant purple,,vermillion,,,3497,169.31,95,31,True
6907,,37,False,0,10,nice,6,elite,top of the morning,avax bling,,swashbucklers,very fresh egg,mutant purple,,solana,,,2302,195.46,95,31.11,True
6908,,10,False,0,3.25,nice,6,rare,red mage,ethereum bling,blue bag,,,pixel-chan,blue trim,vermillion,,,4447,154.56,95,4,True
6909,,27,True,188.8,7.5,rare,5,elite,golden blonde,,summer days,red leather boots,,rustic brown,,plum,,,1648,216.81,138,42,True
6910,,27,False,0,7.5,nice,6,elite,purple sweatband,mim bling,big ol corn cob,purple feet,,passion red,,farm,,,2299,195.57,95,0,True
6911,,52,False,0,13.75,common,6,nice,construction helmet,hairy old man,old fashioned romance,red feet,,mutant purple,,venus,,,5619,138.23,93,24,True
6912,,27,False,0,7.5,rare,6,elite,super saiyan,ethereum bling,old fashioned romance,,very fresh egg,crystalé,,vermillion,,,816,263.02,138,0,True
6913,,27,False,0,7.5,common,5,nice,crusader,,blue bag,blue kicks,,frognation green,,vermillion,,,5214,143.76,93,0,True
6914,,31,False,0,8.5,common,4,rare,,bitcoin bling,,green feet,,pixel-chan,,plum,,,8801,97.83,93,21.9,True
6915,Chicken,30,False,0,8.25,common,4,nice,,,,purple feet,,rustic brown,avax trim,royale,,,9225,90.63,93,22.9,True
6916,,32,False,0,8.75,common,5,Common,moustache,,old fashioned romance,red feet,,mutant purple,,vermillion,,,8307,104.71,93,11,True
6917,Ryan,45,False,0,12,rare,6,legendary,uniquehorn,red bowtie,,purple feet,nyan,celestial,,cornhusk,,,1941,206.2,138,28,True
6918,Brandy the Rollergirl,45,False,0,12,nice,6,rare,sucker,purple bowtie,,rollerderby,liarliar,rustic brown,,solana,,,3649,166.67,95,28.8,True
6919,,48,False,0,12.75,nice,6,elite,blue mage,,old fashioned romance,swashbucklers,very fresh egg,rustic brown,,cornhusk,,,3275,173.1,95,16.5,True
6920,,33,False,0,9,nice,6,elite,sucker,,,red feet,very fresh egg,passion red,avax trim,cloud,,,3976,161.69,95,96,True
6921,,36,False,0,9.75,common,6,nice,,purple bowtie,mighty broadsword,blue feet,led,nightstalker blue,,turquoisey,,,8516,101.9,93,23.1,True
6922,,12,False,0,3.75,nice,5,rare,gentleman's pipe,,mighty broadsword,black vans,,passion red,,miami,,,4376,155.75,95,0,True
6923,,52,False,0,13.75,common,5,nice,lucky blue cap,red bowtie,,,very fresh egg,nightstalker blue,,cornhusk,,,7517,114.57,93,28,True
6924,,41,False,0,11,common,5,nice,red mage,red bowtie,,black vans,,frognation green,,cornhusk,,,6568,126.04,93,0,True
6925,,47,False,0,12.5,common,5,rare,,,blue bag,green kicks,very fresh egg,frognation green,,tangerine,,,7307,117.08,93,0,True
6926,,44,False,0,11.75,nice,6,elite,gentleman's pipe,,big ol corn cob,green feet,very fresh egg,mutant purple,,farm,,,3629,167,95,0,True
6927,,52,False,0,13.75,nice,5,rare,cheeky redhead,ethereum bling,,purple feet,,frognation green,,solana,,,2437,192.31,95,24.88,True
6928,,35,False,0,9.5,common,4,rare,cheeky redhead,hairy old man,,,,nightstalker blue,,cornhusk,,,5456,140.56,93,34,True
6929,,49,False,0,13,common,3,Common,,hairy old man,,,,mutant purple,,plum,,,9561,83.37,93,33,True
6930,Capt. Bok Sparrow,22,False,0,6.25,elite,6,legendary,low vision admiral,hairy old man,business boy,green feet,,rustic brown,,cornhusk,,,282,336.2,145,0,True
6931,,43,False,0,11.5,common,5,rare,construction helmet,chicken choker,,,orange plumage,passion red,,miami,,,6089,132.33,93,0,True
6932,,39,False,0,10.5,nice,5,legendary,maverick,,,purple feet,big mama fat pipes,mutant purple,,miami,,,3627,167.08,95,0,True
6933,,39,False,0,10.5,nice,5,rare,purple sweatband,,spell wand,red feet,,mutant purple,,plum,,,4822,149.1,95,0,True
6934,,40,False,0,10.75,rare,6,rare,top of the morning,ethereum gwei guzzler,cutlass,,orange plumage,mutant purple,,periwinkle,,,1279,234.82,138,0,True
6935,,39,False,0,10.5,common,6,rare,,purple bowtie,big bag of cash,,orange plumage,rustic brown,blue trim,royale,,,5157,144.64,93,0,True
6936,,39,False,0,10.5,nice,6,rare,sucker,wage slave,hentai,,,frognation green,black trim,tangerine,,,3150,176.02,95,0,True
6937,,39,False,0,10.5,nice,5,legendary,,wage slave,,blue feet,very fresh egg,celestial,,turquoisey,,,4029,160.81,95,0,True
6938,,25,False,0,7,common,3,nice,,,,,nyan,frognation green,,plum,,,9537,83.85,93,17.5,True
6939,Coq Holiday,55,False,0,14.5,elite,6,rare,gentlechikn,black bandana,midas muscles,,,nightstalker blue,space trim,vermillion,,,645,276.59,145,38,True
6940,,33,False,0,9,common,5,nice,cool dude 69,,mighty broadsword,green feet,,nightstalker blue,,vermillion,,,7806,110.98,93,22,True
6941,,42,False,0,11.25,elite,5,legendary,boxhead,hairy old man,cutlass,,,gameboy,,plum,,,229,353.33,145,0,True
6942,,20,False,0,5.75,common,5,nice,,purple bowtie,,blue feet,nyan,nightstalker blue,,cornhusk,,,9978,61.49,93,3.48,True
6943,,23,False,0,6.5,common,5,nice,cool dude 69,,blue bag,green feet,,frognation green,,vermillion,,,8671,99.51,93,0,True
6944,,24,True,149,6.75,nice,4,elite,,,cutlass,,,crystalé,space trim,tangerine,,,3238,173.95,95,0,True
6945,,37,True,888,10,elite,5,legendary,gentleman's pipe,,cutlass,,,mutant purple,blue trim,galactic,,,398,311.07,145,37.9,True
6946,,35,False,0,9.5,rare,5,elite,purple sweatband,black bandana,karate kid,,,rustic brown,,plum,,,1192,239.58,138,7,True
6947,,37,False,0,10,common,5,rare,covid safe,hairy old man,summer days,,,pixel-chan,,cornhusk,,,7996,108.72,93,27,True
6948,,45,False,0,12,nice,5,nice,hubba bubba,dollar chain,cutlass,,,gameboy,,royale,,,4771,149.74,95,27,True
6949,,45,True,248,12,elite,5,elite,mysterious fez,red bandana,,,gas guzzler,bullion,,farm,,,741,268.19,145,106.9,True
6950,,38,False,0,10.25,nice,5,elite,pillager,,human growth hormones,red leather boots,,mutant purple,,cornhusk,,,3231,174.16,95,13.6,True
6951,,26,False,0,7.25,rare,4,elite,icey stare,,a fresh baguette,,,passion red,,cornhusk,,,1591,219.25,138,0,True
6952,,33,False,0,9,common,5,Common,blue mage,,,green feet,very fresh egg,rustic brown,,vermillion,,,9116,92.6,93,0,True
6953,,21,False,0,6,nice,5,rare,smoking lounge,chicken choker,,,orange plumage,nightstalker blue,,miami,,,2944,180.4,95,0,True
6954,,21,False,0,6,common,5,Common,,,summer days,red feet,liarliar,mutant purple,,plum,,,9459,85.54,93,20.4,True
6955,,39,False,0,10.5,common,5,nice,deal with it,,summer days,,red plumage,mutant purple,,vermillion,,,8658,99.71,93,0,True
6956,,13,False,0,4,nice,6,rare,smoking lounge,,mighty broadsword,green feet,nyan,mutant purple,,tangerine,,,2766,183.99,95,8,True
6957,,57,False,0,15,common,5,nice,,mim bling,old fashioned romance,,liarliar,rustic brown,,cornhusk,,,9383,87.27,93,31.69,True
6958,,34,False,0,9.25,nice,5,elite,savage beast,black bandana,,,liarliar,passion red,,cloud,,,4752,150.06,95,33.5,True
6959,,22,False,0,6.25,nice,6,nice,deal with it,,human growth hormones,red vans,led,frognation green,,cornhusk,,,4386,155.42,95,0,True
6960,,34,False,0,9.25,common,5,nice,,purple bowtie,,blue feet,nyan,frognation green,,vermillion,,,9979,61.45,93,3.96,True
6961,,21,False,0,6,nice,5,rare,hubba bubba,,hentai,red vans,,bullion,,vermillion,,,2543,189.54,95,0,True
6962,,26,False,0,7.25,common,6,Common,nerdlinger,purple bowtie,a fresh baguette,,liarliar,rustic brown,,vermillion,,,7891,109.85,93,1.77,True
6963,,53,False,0,14,nice,7,nice,crusader,avax bling,blue bag,purple feet,nyan,rustic brown,,vermillion,,,2911,180.9,95,36.69,True
6964,,21,False,0,6,common,4,nice,,purple bowtie,,,nyan,rustic brown,,turquoisey,,,9936,66.47,93,7.5,True
6965,,26,False,0,7.25,rare,6,elite,golden blonde,chicken choker,,,liarliar,nightstalker blue,cloud trim,tangerine,,,1765,212.3,138,0,True
6966,,33,False,0,9,common,5,nice,,,blue bag,purple feet,nyan,mutant purple,,tangerine,,,9113,92.66,93,0,True
6967,Dwayne the Bok Johnson,88,False,0,22.75,nice,6,rare,,hairy old man,human growth hormones,rollerderby,,rustic brown,space trim,vermillion,,,2989,179.51,95,24,True
6968,,27,False,0,7.5,common,5,nice,deal with it,hairy old man,,,liarliar,passion red,,vermillion,,,9228,90.51,93,27.9,True
6969,Gordon Pecko,38,True,53192,10.25,unique,8,unique,?,?,?,?,?,?,?,?,,,?,9045.14,53192,969,True
6970,,26,False,0,7.25,common,4,rare,deal with it,,human growth hormones,,,pixel-chan,,cornhusk,,,7659,112.85,93,1.8,True
6971,,37,False,0,10,common,4,Common,moustache,,,,very fresh egg,nightstalker blue,,cornhusk,,,9478,85.23,93,48,True
6972,,43,False,0,11.5,nice,6,nice,mfd,,old fashioned romance,purple feet,nyan,rustic brown,,vermillion,,,3530,168.67,95,49,True
6973,,41,False,0,11,nice,4,legendary,,avax degen,,red feet,,nightstalker blue,,cornhusk,,,2821,182.92,95,50,True
6974,,21,False,0,6,common,4,nice,,chains for days,,,nyan,passion red,,cornhusk,,,9786,75.36,93,0,True
6975,,29,False,0,8,common,4,nice,gentleman's pipe,,,,,mutant purple,avax trim,solana,,,7344,116.7,93,0,True
6976,Site Inspeggtor,34,False,0,9.25,nice,5,elite,construction helmet,,blue bag,green feet,,mutant purple,,farm,,,4442,154.67,95,0,True
6977,,47,False,0,12.5,common,5,rare,sucker,chicken choker,,blue feet,,frognation green,,nugget,,,6665,124.85,93,24.5,True
6978,,28,False,0,7.75,common,5,elite,,hairy old man,,black vans,very fresh egg,crystalé,,cornhusk,,,5906,134.6,93,19,True
6979,,45,False,0,12,nice,6,nice,nerdlinger,bitcoin bling,summer days,purple feet,,rustic brown,,plum,,,4841,148.79,95,20,True
6980,,46,False,0,12.25,rare,6,rare,mfd,blue bandana,mighty broadsword,,nyan,mutant purple,,miami,,,1657,216.49,138,25,True
6981,Beaky McBeakface,59,False,0,15.5,elite,5,elite,murica,,mighty broadsword,,liarliar,pixel-chan,,plum,,,330,324.68,145,17.549,True
6982,,14,False,0,4.25,common,4,nice,top of the morning,,,green feet,,gameboy,,vermillion,,,8594,100.64,93,5,True
6983,,50,False,0,13.25,common,5,nice,nerdlinger,avax bling,,purple feet,,rustic brown,,vermillion,,,7450,115.21,93,6,True
6984,,31,False,0,8.5,common,5,rare,gentleman's pipe,,mighty broadsword,blue feet,,frognation green,,nugget,,,6397,128.06,93,6,True
6985,,38,False,0,10.25,nice,6,elite,nerdlinger,ethereum bling,,green feet,,nightstalker blue,cloud trim,tangerine,,,3181,175.33,95,0,True
6986,,42,False,0,11.25,common,6,nice,,purple bowtie,human growth hormones,black vans,led,passion red,,tangerine,,,6042,132.88,93,0,True
6987,,43,False,0,11.5,nice,5,rare,smoking lounge,,,green feet,nyan,frognation green,,vermillion,,,4987,146.69,95,0,True
6988,,37,False,0,10,nice,7,rare,red mage,blue bandana,a fresh baguette,blue feet,nyan,mutant purple,,tangerine,,,3270,173.15,95,38,True
6989,,34,False,0,9.25,common,6,nice,,hairy old man,blue bag,,very fresh egg,mutant purple,blue trim,solana,,,7765,111.56,93,0,True
6990,,37,False,0,10,common,5,nice,,ethereum bling,,purple feet,red plumage,frognation green,,tangerine,,,8178,106.42,93,48,True
6991,,45,False,0,12,common,4,Common,,purple bowtie,,,very fresh egg,nightstalker blue,,cornhusk,,,9989,59.08,93,1.25,True
6992,,42,False,0,11.25,nice,6,rare,savage beast,,blue bag,green feet,led,bullion,,cornhusk,,,4906,147.9,95,33,True
6993,,38,False,0,10.25,nice,6,rare,all seeing eye,chicken choker,summer days,,,passion red,blue trim,vermillion,,,2683,186.02,95,0,True
6994,Bradley Coop-er,50,False,0,13.25,nice,6,rare,deal with it,purple bowtie,popsicle,red vans,,rustic brown,,vibe,,,3190,175.14,95,34,True
6995,Salmon Ella,43,False,0,11.5,nice,5,rare,maverick,,fresh fish,red feet,,bullion,,cornhusk,,,4632,151.62,95,0,True
6996,,33,False,0,9,common,4,elite,,chains for days,,purple feet,,rustic brown,,farm,,,5550,139.38,93,0,True
6997,,40,False,0,10.75,common,6,rare,hubba bubba,,,green feet,nyan,pixel-chan,black trim,vermillion,,,5129,144.94,93,28,True
6998,,27,False,0,7.5,nice,5,rare,,,midas muscles,,very fresh egg,rustic brown,black trim,tangerine,,,4551,153.04,95,0,True
6999,,32,False,0,8.75,nice,5,rare,goose,,old fashioned romance,,,passion red,space trim,cornhusk,,,2179,198.99,95,99.9,True
7000,,27,False,0,7.5,rare,7,elite,black sweatband,blue bandana,blue bag,purple feet,liarliar,frognation green,,cloud,,,1707,214.07,138,0,True
7001,,22,False,0,6.25,common,3,rare,,,,green kicks,,rustic brown,,turquoisey,,,6998,120.82,93,18.85,True
7002,,41,True,888,11,elite,6,elite,hamlet,,fresh fish,red feet,very fresh egg,passion red,,turquoisey,,,515,291.28,145,88.6,True
7003,,15,False,0,4.5,common,4,nice,black sweatband,,,,nyan,mutant purple,,venus,,,8456,102.91,93,9,True
7004,Eminem,31,True,199,8.5,common,5,nice,lucky blue cap,,peacemaker,,very fresh egg,nightstalker blue,,venus,,,5929,134.2,93,16.66,True
7005,,30,False,0,8.25,common,5,rare,,blue bandana,old fashioned romance,purple feet,,gameboy,,royale,,,5806,135.7,93,22,True
7006,,30,False,0,8.25,elite,6,legendary,moustache,ethereum bling,,red vans,led,frognation green,,galactic,,,273,339.27,145,0,True
7007,,37,False,0,10,common,4,nice,,dollar chain,peacemaker,,,mutant purple,,vermillion,,,9633,81.21,93,48,True
7008,,27,False,0,7.5,common,5,elite,,,human growth hormones,,liarliar,crystalé,avax trim,tangerine,,,5275,142.86,93,0,True
7009,The Wizard of Oz,50,False,0,13.25,rare,5,elite,golden crusader,,spell wand,blue feet,,rustic brown,,cornhusk,,,913,256.06,138,49.15,True
7010,,29,False,0,8,common,4,nice,pillager,,,green feet,,gameboy,,periwinkle,,,8324,104.56,93,32.89,True
7011,,35,False,0,9.5,common,5,elite,admiral,,,green feet,nyan,frognation green,,farm,,,5398,141.34,93,9.5,True
7012,,28,False,0,7.75,nice,5,rare,,,fresh fish,rollerderby,led,frognation green,,solana,,,4955,147.23,95,24,True
7013,,37,False,0,10,common,5,nice,gentleman's pipe,purple bowtie,,red feet,,frognation green,,turquoisey,,,7731,112,93,24.99,True
7014,,35,False,0,9.5,common,5,rare,pillager,black bandana,,,red plumage,mutant purple,,vermillion,,,7493,114.77,93,62,True
7015,,41,False,0,11,common,4,nice,,,old fashioned romance,,red plumage,mutant purple,,cornhusk,,,9928,67.18,93,3.9,True
7016,🥦,43,False,0,11.5,common,5,rare,,avax bling,,comfortable uggs,,frognation green,avax trim,vermillion,,,5672,137.4,93,25.5,True
7017,,41,False,0,11,rare,7,rare,saint,red bandana,a fresh baguette,red feet,,nightstalker blue,avax trim,turquoisey,,,1174,241.11,138,31,True
7018,,34,False,0,9.25,common,4,nice,purple sweatband,,,,liarliar,frognation green,,tangerine,,,9126,92.39,93,0,True
7019,Jimmy Wilson,49,False,0,13,common,5,rare,,ethereum bling,fresh fish,red feet,,rustic brown,,nugget,,,6725,124.19,93,24,True
7020,,40,False,0,10.75,nice,5,legendary,all seeing eye,,,red feet,big mama fat pipes,frognation green,,periwinkle,,,2213,198.16,95,33.9,True
7021,,38,False,0,10.25,nice,6,legendary,top of the morning,hairy old man,,green feet,big mama fat pipes,rustic brown,,cloud,,,2783,183.63,95,0,True
7022,,47,False,0,12.5,common,6,nice,cool dude 69,avax bling,popsicle,,nyan,frognation green,,vermillion,,,5658,137.59,93,26,True
7023,,26,False,0,7.25,elite,6,elite,pineapple,,,purple feet,gas guzzler,gameboy,blue trim,tangerine,,,467,297.53,145,0,True
7024,,45,False,0,12,nice,6,elite,,black bandana,old fashioned romance,red feet,,crystalé,blue trim,vermillion,,,3459,170.04,95,34,True
7025,,41,False,0,11,common,5,nice,,purple bowtie,old fashioned romance,,red plumage,rustic brown,,vermillion,,,9844,72.56,93,1.95,True
7026,,42,False,0,11.25,nice,5,rare,laser eye,hairy old man,,,liarliar,rustic brown,,cornhusk,,,3145,176.1,95,2.45,True
7027,,29,False,0,8,common,6,nice,pillager,red bowtie,mighty broadsword,green feet,,rustic brown,,cornhusk,,,6996,120.85,93,35,True
7028,,50,False,0,13.25,nice,6,rare,all seeing eye,,summer days,red feet,led,frognation green,,nugget,,,2451,191.95,95,24.8,True
7029,,24,False,0,6.75,nice,5,elite,hubba bubba,,blue bag,red leather boots,,rustic brown,,vermillion,,,3597,167.51,95,6.4,True
7030,,46,False,0,12.25,nice,7,rare,smoking lounge,hairy old man,human growth hormones,blue feet,led,rustic brown,,plum,,,2102,201.12,95,30,True
7031,,22,False,0,6.25,common,5,nice,pillager,red bowtie,,,led,nightstalker blue,,cornhusk,,,8916,96.15,93,92.5,True
7032,,21,False,0,6,common,5,elite,,hairy old man,,green feet,golden plumage,frognation green,,plum,,,7924,109.48,93,0,True
7033,,47,False,0,12.5,common,5,rare,lucky blue cap,ethereum bling,,,gas guzzler,rustic brown,,turquoisey,,,5158,144.62,93,24,True
7034,,17,False,0,5,nice,5,nice,purple sweatband,,mighty broadsword,red vans,,gameboy,,cornhusk,,,4677,151.06,95,0,True
7035,,52,False,0,13.75,common,5,rare,savage beast,red bandana,,,led,frognation green,,miami,,,5393,141.42,93,25,True
7036,Chicki Minaj,42,False,0,11.25,common,4,nice,,mim bling,,,red plumage,mutant purple,,turquoisey,,,9263,89.8,93,23,True
7037,,21,False,0,6,common,6,rare,nerdlinger,,popsicle,green feet,orange plumage,frognation green,,cornhusk,,,5945,134.02,93,0,True
7038,,26,False,0,7.25,rare,7,elite,frothy crown,wage slave,a fresh baguette,,red plumage,gameboy,cloud trim,vermillion,,,1109,244.24,138,100,True
7039,,34,False,0,9.25,common,5,rare,admiral,,,blue feet,orange plumage,pixel-chan,,cornhusk,,,8691,99.29,93,1.3,True
7040,,20,False,0,5.75,common,6,nice,uniquehorn,hairy old man,,purple feet,liarliar,mutant purple,,royale,,,6643,125.15,93,33,True
7041,,31,False,0,8.5,common,4,elite,,red bowtie,hentai,,,rustic brown,,cloud,,,6626,125.37,93,0,True
7042,,25,False,0,7,nice,5,rare,,,mighty broadsword,purple leather boots,gas guzzler,rustic brown,,cornhusk,,,4873,148.37,95,26,True
7043,CWG,69,True,290,18,nice,6,elite,uniquehorn,,big ol corn cob,swashbucklers,gas guzzler,mutant purple,,plum,,,2373,193.6,95,1.6,True
7044,,26,False,0,7.25,nice,5,elite,sucker,,nugget wand,,led,rustic brown,,vermillion,,,4179,158.33,95,28.9,True
7045,,38,False,0,10.25,common,6,nice,maverick,,human growth hormones,,very fresh egg,nightstalker blue,blue trim,periwinkle,,,5254,143.18,93,0,True
7046,,46,False,0,12.25,common,4,legendary,,,old fashioned romance,,big mama fat pipes,nightstalker blue,,periwinkle,,,7573,113.96,93,11,True
7047,Eggar Allen Poe,42,True,212,11.25,nice,5,rare,top of the morning,ethereum gwei guzzler,a fresh baguette,,,nightstalker blue,,plum,,,2010,203.78,95,50,True
7048,,35,False,0,9.5,nice,5,rare,all seeing eye,black bandana,,,liarliar,mutant purple,,venus,,,3053,178.08,95,2.5,True
7049,,26,False,0,7.25,common,6,nice,red mage,hairy old man,,purple feet,red plumage,nightstalker blue,,venus,,,5310,142.41,93,26,True
7050,,38,False,0,10.25,common,4,rare,,purple bowtie,,,orange plumage,bullion,,tangerine,,,8242,105.61,93,29.99,True
7051,,39,False,0,10.5,rare,5,legendary,pixel cigarette,avax degen,,,golden plumage,rustic brown,,vermillion,,,1100,244.87,138,0,True
7052,,30,False,0,8.25,nice,5,elite,crusader,,action shorts,red feet,,rustic brown,,cornhusk,,,2518,190.19,95,22,True
7053,,21,False,0,6,nice,6,elite,,,blue bag,blue kicks,liarliar,passion red,black trim,farm,,,3094,177.03,95,0,True
7054,,28,False,0,7.75,common,5,rare,pillager,,blue bag,,orange plumage,rustic brown,,periwinkle,,,8341,104.34,93,7.8,True
7055,,47,False,0,12.5,nice,5,rare,,bitcoin bling,cutlass,red vans,,pixel-chan,,miami,,,3765,164.74,95,0,True
7056,,40,False,0,10.75,common,4,nice,maverick,wage slave,,,,passion red,,vermillion,,,8910,96.28,93,18.8,True
7057,,19,False,0,5.5,rare,5,elite,frothy crown,wage slave,,,,rustic brown,blue trim,farm,,,1874,208.71,138,47.99,True
7058,,12,False,0,3.75,common,4,rare,,red bowtie,big ol corn cob,,,pixel-chan,,solana,,,8804,97.79,93,3.69,True
7059,,41,False,0,11,common,5,rare,pillager,purple bowtie,,green kicks,,frognation green,,cornhusk,,,6315,128.96,93,0,True
7060,,19,False,0,5.5,common,6,nice,,dollar chain,summer days,red vans,nyan,frognation green,,vermillion,,,6094,132.26,93,18,True
7061,,42,False,0,11.25,common,5,nice,,,fresh fish,blue kicks,very fresh egg,mutant purple,,royale,,,7977,109.01,93,0,True
7062,The Coqfather,46,False,0,12.25,common,5,Common,deal with it,red bowtie,peacemaker,,,nightstalker blue,,royale,,,7955,109.23,93,0,True
7063,,35,False,0,9.5,common,5,nice,moustache,mim bling,,red vans,,mutant purple,,vermillion,,,5196,144.02,93,19,True
7064,Chiky Bobby,45,False,0,12,nice,5,legendary,lucky blue cap,,old fashioned romance,,big mama fat pipes,frognation green,,royale,,,3668,166.36,95,36.5,True
7065,,22,False,0,6.25,legendary,6,elite,hamlet,bitcoin maxi,blue bag,purple feet,,mutant purple,,venus,,,143,398.9,300,0,True
7066,,37,False,0,10,common,5,nice,black sweatband,dollar chain,big ol corn cob,,,mutant purple,,tangerine,,,6767,123.62,93,40,True
7067,,29,False,0,8,nice,6,nice,hubba bubba,bitcoin bling,hentai,,nyan,passion red,,periwinkle,,,3986,161.55,95,2,True
7068,,54,True,2500,14.25,rare,6,elite,uniquehorn,bitcoin bling,cutlass,red leather boots,,mutant purple,,royale,,,1612,218.19,138,81,True
7069,,24,True,119,6.75,nice,7,nice,purple sweatband,wage slave,fresh fish,green feet,red plumage,mutant purple,,periwinkle,,,3808,164.16,95,5.89,True
7070,,45,False,0,12,rare,7,rare,construction helmet,,human growth hormones,comfortable uggs,orange plumage,rustic brown,black trim,tangerine,,,1320,232.8,138,2.69,True
7071,,18,False,0,5.25,common,6,nice,covid safe,wage slave,,purple feet,very fresh egg,passion red,,royale,,,6068,132.58,93,12.9,True
7072,,15,False,0,4.5,elite,6,elite,mysterious fez,chicken choker,big bag of cash,,,mutant purple,cloud trim,plum,,,798,264.43,145,25,True
7073,Super Saiyan,58,False,0,15.25,rare,5,elite,super saiyan,blue bandana,cutlass,,,pixel-chan,,vermillion,,,986,251.82,138,6.9,True
7074,,45,False,0,12,common,4,nice,,red bowtie,,,red plumage,mutant purple,,cornhusk,,,9953,65.17,93,34,True
7075,The Little Red Hen,23,True,10000,6.5,elite,5,elite,inherited royalty,,,red vans,nyan,pixel-chan,,plum,,,499,293.32,145,39.9,True
7076,,46,False,0,12.25,nice,4,rare,laser eye,,,purple feet,,nightstalker blue,,plum,,,2330,194.71,95,35,True
7077,Feathers McGraw,30,False,0,8.25,common,5,nice,deal with it,,peacemaker,,,nightstalker blue,blue trim,vermillion,,,7785,111.3,93,0,True
7078,,11,False,0,3.5,common,5,nice,,wage slave,a fresh baguette,,nyan,rustic brown,,cornhusk,,,9744,77.39,93,5.3,True
7079,,34,False,0,9.25,nice,6,elite,red mage,,,blue feet,liarliar,pixel-chan,blue trim,cloud,,,3732,165.36,95,3.5,True
7080,,45,False,0,12,common,5,rare,,,old fashioned romance,,orange plumage,passion red,blue trim,vermillion,,,9364,87.78,93,26.5,True
7081,,31,False,0,8.5,rare,6,elite,deal with it,bitcoin maxi,,purple feet,led,nightstalker blue,,cornhusk,,,1419,227.1,138,32,True
7082,,19,False,0,5.5,common,5,nice,red mage,,summer days,blue kicks,,mutant purple,,royale,,,6268,129.7,93,16.5,True
7083,,22,False,0,6.25,common,4,nice,construction helmet,purple bowtie,,,,frognation green,,vermillion,,,9202,91.04,93,27.69,True
7084,,45,False,0,12,common,4,rare,,black bandana,,,gas guzzler,passion red,,cornhusk,,,9102,92.96,93,95,True
7085,,42,True,200,11.25,common,6,nice,deal with it,,hentai,blue feet,very fresh egg,nightstalker blue,,cornhusk,,,6434,127.64,93,0,True
7086,,18,True,97.5,5.25,common,5,rare,admiral,red bowtie,peacemaker,,,pixel-chan,,royale,,,7215,118.12,93,22.5,True
7087,,46,False,0,12.25,nice,5,rare,charcoal brunette,,mighty broadsword,,red plumage,frognation green,,miami,,,2822,182.9,95,0,True
7088,,23,False,0,6.5,elite,3,legendary,,,business boy,,,nightstalker blue,,vermillion,,,779,265.63,145,0,True
7089,Eggy Pop,43,False,0,11.5,nice,5,rare,charcoal brunette,,big ol corn cob,red vans,,frognation green,,turquoisey,,,2403,193.01,95,0,True
7090,Little Jerry Seinfeld,48,False,0,12.75,rare,5,legendary,,ethereum gwei guzzler,,real feet,nyan,mutant purple,,vermillion,"I was told. I fight for the name of the Seinfeld, or I lick the back of the envelopes. At least I have a fighting chance against other fowl!",For Jerry!!!!!!!!,1216,238,138,0,True
7091,,42,False,0,11.25,nice,6,rare,red mage,chicken choker,,rollerderby,nyan,rustic brown,,tangerine,,,3182,175.29,95,0,True
